,Actual,Predicted
3132,39.3,38.7746091227409
3133,39.6,39.34636271689611
3134,38.8,38.12650723612781
3135,38.8,36.740034483292376
3136,38.2,37.75759818997717
3137,38.4,39.28501334115052
3138,35.6,38.07080107829718
3139,35.5,37.820537107466095
3140,36.0,37.19118476301712
3141,36.4,36.209759249736706
3142,36.8,35.73065232210739
3143,36.8,34.16832149970804
3144,34.5,32.8304200045046
3145,33.4,33.058623243602085
3146,33.4,34.44562572461369
3147,34.0,37.499753607420075
3148,35.6,37.56216948029375
3149,36.7,38.45331538918997
3150,36.7,36.66504756282211
3151,35.3,35.182281486366904
3152,37.2,37.79132237927429
3153,38.0,38.579841885367
3154,37.0,38.19796265858395
3155,36.5,37.870205846290105
3156,36.1,35.78796990275424
3157,31.6,33.68594811584646
3158,32.2,33.42645878902502
3159,35.2,36.46839156295333
3160,35.3,34.9344381265426
3161,33.1,34.41313871139026
3162,34.0,33.80306631331197
3163,36.0,35.10938238637449
3164,36.0,35.00354349899686
3165,35.6,35.80395594083123
3166,38.2,36.01009424019185
3167,37.2,36.28332526206158
3168,36.2,35.506907732118435
3169,36.9,35.122560572216045
3170,36.1,35.48671375234093
3171,34.7,33.43724221036061
3172,33.4,33.77670974115827
3173,35.0,32.76170824676099
3174,35.4,33.57593964365856
3175,34.3,31.870937381545787
3176,32.9,30.750292245117777
3177,30.1,29.597730945319014
3178,31.0,31.548215927792853
3179,31.1,31.275735215949652
3180,29.0,29.96383596264218
3181,28.4,29.053959296786005
3182,30.1,29.529290930323242
3183,30.0,30.03176291952748
3184,29.3,29.095887754813774
3185,28.9,28.756434292163448
3186,28.0,29.463414014170127
3187,27.3,28.634460732786067
3188,27.2,28.14007167917231
3189,26.0,28.215965684465885
3190,26.4,28.71334389919977
3191,26.7,29.33015855811577
3192,27.3,29.363612187641223
3193,27.4,30.154930536840496
3194,28.1,29.640383268029026
3195,27.4,27.75493449326939
3196,25.3,25.376514275812283
3197,23.1,23.79844280854104
3198,26.2,26.284497601580213
3199,26.1,26.296268082137274
3200,29.1,28.19145709016668
3201,29.0,27.123195900330245
3202,27.7,27.094632009854593
3203,24.5,23.702377976447963
3204,20.1,21.68893131908017
3205,24.7,22.960189201674282
3206,24.7,22.949419805113763
3207,24.3,24.97976541841429
3208,23.5,23.665559181252448
3209,23.1,23.37048865944314
3210,24.4,25.028080356314888
3211,25.0,24.432162851826803
3212,24.5,23.561747570305783
3213,26.0,23.543745025535955
3214,26.0,23.285001071750855
3215,24.4,24.928077658624858
3216,24.5,24.638570151721808
3217,25.1,24.10725037064448
3218,25.0,25.09779749986457
3219,25.0,24.972193192546996
3220,26.1,25.140291776622036
3221,27.0,23.745213483436245
3222,26.7,20.853235018445204
3223,21.3,19.591384740784264
3224,21.4,19.9665825377145
3225,20.7,20.67118987444809
3226,18.2,22.817708220119343
3227,19.6,21.348136989218943
3228,20.1,21.96353629008938
3229,21.5,24.330373618669995
3230,21.7,22.070271574394425
3231,20.3,21.335404017228655
3232,24.5,22.557058985979126
3233,21.3,19.942005703663398
3234,21.3,19.81026909882584
3235,21.1,20.80354549342971
3236,22.0,20.031914781719465
3237,19.2,19.74816416897751
3238,21.1,19.991334772641437
3239,21.1,19.41183090147709
3240,20.2,19.084067159326025
3241,20.3,18.876573905198583
3242,20.3,17.126237094225104
3243,18.3,18.348093273763595
3244,13.0,15.092612556424882
3245,13.5,17.375507003679658
3246,14.5,17.422993266385575
3247,16.8,18.140141888145465
3248,17.0,20.192074506403713
3249,20.0,20.964087691283353
3250,17.6,18.963498071498037
3251,16.0,16.479016890719862
3252,16.6,16.72527778029078
3253,16.8,16.096206025739406
3254,17.2,14.935864931748483
3255,18.2,15.691731538930014
3256,18.0,16.072283204575285
3257,19.2,16.951124922979346
3258,16.0,15.845892671357433
3259,16.4,16.721753608229847
3260,18.0,15.33067950432519
3261,15.0,13.1227720494702
3262,18.4,15.121043266652663
3263,18.5,13.43500631975084
3264,14.4,13.084174325093755
3265,12.3,10.681246045924524
3266,11.5,12.493868168332938
3267,13.0,11.208501217769623
3268,15.3,12.996883039317964
3269,16.1,14.68796210812107
