,Actual,Predicted
3415,27.4,29.277813214262537
3416,30.4,32.73749160506293
3417,26.4,30.823269463538693
3418,28.2,33.232271291189235
3419,28.5,27.841037518334574
3420,28.8,27.4104185113317
3421,26.3,29.00808819433979
3422,26.3,25.990900508531382
3423,25.6,27.595508123155398
3424,27.5,28.97749819596625
3425,28.5,27.58076991819439
3426,28.2,28.76558231657441
3427,27.3,29.779185030808932
3428,29.0,30.641141252330314
3429,30.3,31.020374533255534
3430,30.2,32.14454346092192
3431,33.2,32.71997260182978
3432,34.0,32.20334153521107
3433,33.8,32.16563712645274
3434,34.4,31.917987551559065
3435,36.5,34.182218359187345
3436,37.2,35.995435511960494
3437,36.3,34.874900292155445
3438,33.3,31.621290870023344
3439,32.2,30.793547229225638
3440,31.9,30.71914421994275
3441,32.1,31.55530154828024
3442,34.1,34.37298922122383
3443,34.7,36.737553759150316
3444,35.0,37.22311862950194
3445,36.1,36.747856202176564
3446,36.2,35.57771234500483
3447,36.7,36.68474354416212
3448,36.5,33.882126733517865
3449,33.2,32.091081368373395
3450,33.2,33.71785299517674
3451,35.4,34.41955753752926
3452,36.0,34.56251802670137
3453,36.5,37.85979770829829
3454,35.0,37.38525794988267
3455,35.1,36.50576071211708
3456,35.6,34.93081060796139
3457,35.5,36.322300079974696
3458,34.4,37.174958420487386
3459,34.2,36.77822353466905
3460,36.4,34.80798606781599
3461,35.2,34.78155798474852
3462,35.3,35.97983854538086
3463,36.0,34.54640414622202
3464,36.6,35.76724047262884
3465,36.6,36.240655637867505
3466,35.0,34.819635985398705
3467,36.6,36.35253963411037
3468,35.0,36.63908787202803
3469,38.0,38.450871249146445
3470,39.0,38.29936485082669
3471,37.0,37.07316758567339
3472,37.0,37.41084622134608
3473,37.0,35.94629894505873
3474,38.0,36.29136730921903
3475,39.0,36.823288251485195
3476,38.0,36.798530551175475
3477,37.0,37.39256646777285
3478,36.0,37.39098283158815
3479,35.0,37.5381708373051
3480,34.9,37.73096913839032
