Actual,Predicted
39.3,38.75305221812911
39.6,39.30088890558993
38.8,38.090954034483374
38.8,36.74467263506051
38.2,37.73277552589815
38.4,39.24296340048603
35.6,38.00336151832532
35.5,37.8081128511613
36.0,37.21761360530738
36.4,36.23375132498866
36.8,35.739609038861175
36.8,34.18482066299275
34.5,32.87625671253066
33.4,33.05385630768028
33.4,34.41976505877798
34.0,37.473237825967814
35.6,37.52134433041584
36.7,38.43095454839275
36.7,36.67884647137713
35.3,35.2174885034745
37.2,37.797061082508876
38.0,38.52753327793084
37.0,38.21940943219654
36.5,37.90138581477726
36.1,35.77697486598841
31.6,33.70168566387058
32.2,33.463858963688224
35.2,36.48307589152343
35.3,34.913466249510805
33.1,34.440734330636914
34.0,33.85722564511052
36.0,35.154575311431586
36.0,34.96759226426758
35.6,35.7579065854046
38.2,36.004929888106886
37.2,36.28481205695839
36.2,35.543709406080524
36.9,35.186144372907364
36.1,35.52953096222333
34.7,33.43964128271345
33.4,33.76608418444265
35.0,32.780712785225646
35.4,33.58053172454285
34.3,31.838676324095957
32.9,30.7985249887017
30.1,29.657719059951347
31.0,31.560566899478502
31.1,31.299409134613626
29.0,29.9499476478273
28.4,29.11389117208566
30.1,29.54613788920321
30.0,30.014141062924494
29.3,29.055047951874258
28.9,28.748855747074046
28.0,29.456455307190296
27.3,28.63095112475223
27.2,28.169937929914767
26.0,28.23436199751076
26.4,28.719098475673007
26.7,29.294435223251014
27.3,29.375249185074594
27.4,30.107795061971302
28.1,29.627934720167246
27.4,27.75755888545511
25.3,25.379449420251987
23.1,23.843239862987915
26.2,26.279609822475578
26.1,26.32091815950372
29.1,28.18330599042966
29.0,27.112185854287645
27.7,27.098878815794464
24.5,23.71643563915228
20.1,21.797552339597928
24.7,23.002421848468003
24.7,22.974058492975445
24.3,24.956157214879156
23.5,23.70826428348552
23.1,23.41676837065434
24.4,25.006304690681688
25.0,24.372714237040313
24.5,23.54439898967705
26.0,23.55479402150806
26.0,23.279027693006512
24.4,24.886180891288035
24.5,24.616096083039068
25.1,23.993369061623824
25.0,24.997813968562127
25.0,24.93321051487044
26.1,25.14610505833012
27.0,23.74033019487395
26.7,20.868810404158452
21.3,19.65120172068771
21.4,19.99434852041483
20.7,20.484716725061347
18.2,22.767371242678607
19.6,21.475225477808422
20.1,21.976048123155536
21.5,24.359427918416998
21.7,22.07926701500824
20.3,21.32423085570008
24.5,22.585645832575125
21.3,19.995527854820793
21.3,19.80369150905534
21.1,20.807868294037846
22.0,20.01491103962975
19.2,19.731705131816582
21.1,19.94624975511907
21.1,19.404321130372793
20.2,19.06212682471518
20.3,18.880955357705744
20.3,16.973191319991315
18.3,18.29568837759939
13.0,15.008366133315036
13.5,17.419272857282664
14.5,17.45925792617001
16.8,18.13861946482635
17.0,20.221780386220516
20.0,20.999849364397022
17.6,18.900119680692512
16.0,16.56478924436351
16.6,16.770905142580546
16.8,16.107305908811952
17.2,14.933410263372537
18.2,15.695163543363321
18.0,16.07639978443305
19.2,16.966236615733862
16.0,15.871099468257057
16.4,16.76542133210168
18.0,15.41263682115553
15.0,13.161333932730258
18.4,15.127166592544143
18.5,13.474218847794617
14.4,13.05579711588831
12.3,10.73099054032707
11.5,12.51284313166596
13.0,11.272689819495895
15.3,12.976543185316217
16.1,14.699869932777972
13.5,12.62494257153665
11.5,10.1553074620021
11.3,10.44785026220029
11.2,11.244417111616059
12.0,12.808942751817597
13.5,13.958559305060533
14.0,14.602028245287983
15.2,13.3096313301605
7.8,11.878511395974925
15.7,11.403012372337258
15.4,14.199416806762628
13.4,9.840090491551933
10.0,8.460230603923549
13.4,10.626673562426674
13.4,12.00710778219593
14.3,12.24514093526335
13.6,13.288154347455361
15.2,13.195956051948713
14.6,14.555012637772734
12.1,12.050712411296246
12.0,12.745970651916593
14.6,13.487516639773702
17.2,15.353155726159315
15.8,14.074089819805096
15.4,10.490726477630147
10.0,10.49233655154194
12.6,12.976814240822847
14.0,13.395889656551645
14.9,12.141967799662979
13.0,12.182788680313763
15.0,12.114634383340302
13.0,12.295033261843741
14.1,12.185708882025807
14.6,12.851042931755757
15.0,13.570484995187883
15.4,13.178359162150855
13.4,11.606088547472126
11.2,10.623468046178516
12.1,8.354189153173962
11.0,7.43460218489605
11.0,10.369898955579004
9.0,9.05144697902577
9.5,9.466221173888016
9.3,8.705658249271778
8.0,8.581580623781576
6.5,7.7668195748698565
3.3,5.699153402312817
7.0,9.545518635165706
8.0,11.242117257307513
10.4,12.814344775194542
11.3,13.514841232955348
12.5,12.653705397327798
15.1,13.755336482000928
15.1,14.769613062786505
16.8,15.971964677675487
17.0,14.912291920229563
18.0,15.022813237716633
19.4,16.089140222927
19.1,15.619108305466568
19.8,14.37851107993373
17.8,12.085585198459626
14.8,11.982950533779047
13.0,11.04492970610616
10.2,8.750835872602465
10.2,11.744402873534568
11.4,13.701119773085935
13.0,13.666297496944566
15.0,13.83101212026159
13.1,12.911465465525708
11.0,6.44977967776083
2.0,6.079445291296423
3.1,5.7273769012102775
3.1,6.331618063690058
4.5,8.671231720380291
7.5,12.455733899446585
9.3,13.305491739490208
11.3,13.960336449547128
9.1,13.815327845422047
10.0,14.7360746217052
14.8,16.20714610759606
16.0,18.159461200182704
16.2,16.026807912309465
15.1,14.1239007239177
