Actual,Predicted
32.1,31.536483864083266
34.1,34.35417441942414
34.7,36.714024826316546
35.0,37.197960274411116
36.1,36.69621923504873
36.2,35.5663007991227
36.7,36.65606131042226
36.5,33.8621471865809
33.2,32.11705412951521
33.2,33.727873333764364
35.4,34.398367749259066
36.0,34.540447958935516
36.5,37.87405252184813
35.0,37.34915904665468
35.1,36.478617094061775
35.6,34.954627074991265
35.5,36.34547345641589
34.4,37.19431550839106
34.2,36.72948989005839
36.4,34.81813380070085
35.2,34.82056669032747
35.3,35.93812028968263
36.0,34.53016241144235
36.6,35.81206681541535
36.6,36.26465435545711
35.0,34.821895601588494
36.6,36.41287330000914
35.0,36.68311580355882
38.0,38.42028309216619
39.0,38.26581563510847
37.0,37.08152284189073
37.0,37.37404177126173
37.0,35.90955612519841
38.0,36.251049756900684
39.0,36.865096364056114
38.0,36.78050692786218
37.0,37.376674464458276
36.0,37.36576818278138
35.0,37.52624913034025
34.9,37.714017207670324
